Timestamp,How many times do you go to Panda Express per month? please be accurate ,Fried Rice or Chow Mein
4/3/2023 9:20:55,1,Fried Rice
4/3/2023 9:21:00,2,Fried Rice
4/3/2023 9:21:05,3,Fried Rice
4/3/2023 9:21:06,2,Fried Rice
4/3/2023 9:21:22,11,Chow Mein
4/3/2023 9:21:33,5,Fried Rice
4/3/2023 9:21:37,1,Fried Rice
4/3/2023 9:21:38,4,Fried Rice
4/3/2023 9:21:42,2,Fried Rice
4/3/2023 9:21:43,3,Chow Mein
4/3/2023 9:21:47,1,Fried Rice
4/3/2023 9:21:49,2,Fried Rice
4/3/2023 9:21:51,2,Chow Mein
4/3/2023 9:21:54,1,Chow Mein
4/3/2023 9:22:01,0,Fried Rice
4/3/2023 9:22:06,0,Fried Rice
4/3/2023 9:22:10,0,Chow Mein
4/3/2023 9:22:14,8,Fried Rice
4/3/2023 9:22:25,9,Chow Mein
4/3/2023 9:22:40,3,Fried Rice
4/3/2023 9:22:46,4,Fried Rice
4/3/2023 9:22:55,5,Chow Mein
4/3/2023 9:22:58,4,Fried Rice
4/3/2023 9:23:03,1,Fried Rice
4/3/2023 9:23:09,0,Chow Mein
4/3/2023 9:23:14,2,Fried Rice
4/3/2023 9:23:20,5,Fried Rice
4/3/2023 9:23:26,6,Chow Mein
4/3/2023 9:23:31,1,Fried Rice
4/3/2023 9:23:36,3,Fried Rice
4/3/2023 9:23:41,6,Chow Mein
4/3/2023 9:23:47,1,Fried Rice
4/3/2023 9:23:48,2,Fried Rice
4/3/2023 9:23:52,1,Chow Mein
4/3/2023 9:23:52,2,Fried Rice
4/3/2023 9:23:55,1,
4/3/2023 9:23:58,3,Chow Mein
4/3/2023 9:23:58,2,Chow Mein
4/3/2023 9:24:02,1,Chow Mein
4/3/2023 9:24:03,4,Fried Rice
4/3/2023 9:24:06,3,Chow Mein
4/3/2023 9:24:07,1,Fried Rice
4/3/2023 9:24:11,3,Fried Rice
4/3/2023 9:24:13,2,Chow Mein
4/3/2023 9:24:16,1,Chow Mein
4/3/2023 9:24:20,2,Chow Mein
4/3/2023 9:24:26,0,Chow Mein
4/3/2023 9:24:29,3,Chow Mein
4/3/2023 9:24:41,4,Fried Rice
4/3/2023 9:24:46,1,Fried Rice
4/3/2023 9:24:52,1,Fried Rice
4/3/2023 9:24:52,2,Fried Rice
4/3/2023 9:24:54,1,Chow Mein
4/3/2023 9:24:58,1,Fried Rice
4/3/2023 9:25:00,1,Chow Mein
4/3/2023 9:25:01,1,Fried Rice
4/3/2023 9:27:57,2,Chow Mein
4/3/2023 9:28:01,1,Fried Rice
